Compound,ID,NormInt,Sample.Type,Method,full_name,Class
Ala,GF08,2.874094708,GF,LC,Alanine,Amino acids
Ala,GF17,5.750943396,GF,LC,Alanine,Amino acids
Ala,GF22,2.807091198,GF,LC,Alanine,Amino acids
Ala,GF10,3.427340824,GF,LC,Alanine,Amino acids
Ala,GF19,3.199336114,GF,LC,Alanine,Amino acids
Ala,GF15,3.613893633,GF,LC,Alanine,Amino acids
Ala,GF20,3.001562326,GF,LC,Alanine,Amino acids
Ala,sexGF1,2.668664728,sexGF,LC,Alanine,Amino acids
Ala,sexGF2,2.793529646,sexGF,LC,Alanine,Amino acids
Ala,sexGF3,2.086008423,sexGF,LC,Alanine,Amino acids
Ala,sexGF4,2.822893043,sexGF,LC,Alanine,Amino acids
Ala,sexGF5,2.937555142,sexGF,LC,Alanine,Amino acids
Ala,sGF1,2.626569431,sGF,LC,Alanine,Amino acids
Ala,sGF2,2.623531038,sGF,LC,Alanine,Amino acids
Ala,sGF3,3.627514192,sGF,LC,Alanine,Amino acids
Ala,sGF4,3.126173145,sGF,LC,Alanine,Amino acids
Ala,sGF5,3.221519351,sGF,LC,Alanine,Amino acids
alpha-AAA,exGF10,0.74297655,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF16,0.427197495,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF11,0.89671625,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF17,0.441089242,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF12,0.355166286,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF18,0.338517841,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF07,0.568128426,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF13,0.408011869,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF19,0.548686963,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF09,0.547079857,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,exGF14,0.593157651,exGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF07,0.521944444,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF16,0.282640232,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF21,0.715486194,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF08,0.639448173,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF17,0.832550861,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF22,0.626916868,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF10,0.501600854,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF19,0.46667936,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF15,0.642810811,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,GF20,0.628769018,GF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sexGF1,0.376013352,sexGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sexGF2,0.370145965,sexGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sexGF3,0.355161787,sexGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sexGF4,0.386044817,sexGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sexGF5,0.40703125,sexGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sGF1,0.413651623,sGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sGF2,0.464306111,sGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sGF3,0.495524526,sGF,LC,alpha-Aminoadipic acid,Amino acid related
